"nombreVacante","empresa","ubicacion","sueldo","verificada","categoria","subcategoria","educacionMinima","contratacion","horario","espacioDeTrabajo","descripcion"
"Ingeniero en Automatización PLC","Vidmar Ingenieria SA d...","Apodaca,, N.L.","$28,000 - $32,000 Mensual",true,"Ingeniería","Automatización","Universitario titulado","Permanente","Tiempo completo","Presencial","Requisitos:

·Escolaridad: Ing. Mecatrónica, automatización, Electrónico, Robótica, Sistemas o Afines.

·Experiencia: 3 años en puestos similares comprobables enfocada a proyectos y modernizaciones

·Con estabilidad laboral

·Licencia de manejo vigente

·Disponibilidad para viajar

·Inglés técnico




Conocimientos:

EN BÁSCULAS

DOSIFICADORAS, CAMIONERAS Y FERROVIARIAS

·Microsoft Office, Software UNITY, CITECT

·Programación de PLC (Schneider, siemens, ABB, rodKwell)

·Programación de sistemas SCADA y HDI.

·Programación de drives

·Redes industriales de comunicación




Funciones:

·Protocolos de Comunicaciones Industriales

·Programación y diseño de sistemas SCADA

Básico

·Diseño redes

básico industrial

·Manejo de base de datos en SQL

·Calibración de instrumentos y basculas

·Programar HMI´S

·Puesta en marcha de instalaciones

·Programación de sistemas DCS







Ofrecemos:

· Sueldo $28,000 A $32,000 BRUTOS MENSUALES

· Prestaciones de ley y permisos con goce de sueldo

· Vales de despensa

· Horario de lunes a viernes

· Empleo estable y buen ambiente de trabajo"
"Ejecutivo Gobierno de Datos","La empresa es confidencial o no se encuentra disponible","Santa Fe Cuajimalpa,, Cuajimalpa de Morelos,, CDMX","Sueldo no mostrado por la empresa",true,"Tecnologías de la Información - Sistemas","Big data","Universitario titulado","Permanente","Tiempo completo","Híbrido","Descripción del Puesto:

Nos encontramos en la búsqueda de un Ejecutivo de Gobierno de Datos para garantizar la calidad, seguridad e integridad de los datos en Finanzas y Procurement. Colaborará con equipos de seguridad y análisis de datos, utilizando herramientas especializadas como Cloud Data Governance de Informatica y Unity Catalog, asegurando el cumplimiento de los estándares corporativos y regulatorios.




Responsabilidades:







Gobernanza de datos en Finanzas y Procurement.
Uso y gestión de herramientas de gobierno de datos, como Cloud Data Governance de Informatica y Unity Catalog.
Gestión de activos técnicos en S4H, SAP ECC y Datalakes de la compañía.
Soporte en la migración de datos.
Coordinación con equipos de seguridad y datos para garantizar la integridad de la información.
Participación en foros de negocio, comunicando información técnica a públicos no especializados.
Exposición y presentación de temas relacionados con la gestión de datos.







Skills Fundamentales:







Formación en Actuaría, Matemáticas, Ciencias de Datos o afines, con enfoque en analítica y gestión de datos.
Experiencia en gobierno de datos y gestión de herramientas como Cloud Data Governance de Informatica, Unity Catalog, Alation, BigID y Purview.
Dominio de SQL (requisito indispensable).
Experiencia en Integración de Datos (SQL, Databricks, Data Factory).
Conocimientos en el marco de referencia DAMA - Data Management.
Capacidad para comunicarse de manera efectiva en entornos de negocio y exponer temas técnicos a públicos no especializados.
Inglés nivel B2."
"Public Relations Specialist","Human Quality","Monterrey,, N.L.","Sueldo no mostrado por la empresa",true,"Mercadotecnia - Publicidad - Relaciones Públicas","Relaciones públicas","Universitario titulado","Permanente","Tiempo completo","Presencial","About Human Quality:

With over 29 years in the market, Human Quality is a leading company in the specialized services sector, offering recruitment, payrolling, headhunting, and a wide range of human resources solutions.

We stand out for our core values: love, a solution-oriented mindset, unity, transparency and human connection.




Location: Monterrey, Nuevo León. (Non-negotiable)




Rol mission:

Create a strategy to make the company the go-to expert in human capital. This involves working with the media and actively participating in industry events, associations, key organizations, business chambers and others.




Position Requirements:

Bachelor's degree in Communications, Public Relations, Marketing or a related field.
Solid experience in corporate public relations, business chamber engagement and/or collaboration with organizations focused on business development.
Previous participation in new business development.
Experience representing companies before government authorities, business chambers, and public forums.
Availability to attend in-person external events and travel as needed.
Advanced English is a must.




Key Responsibilities:

Designs and implements external communication plans to enhance the visibility of the services offered by Human Quality's various business units, positioning the company as an industry leader and a strategic partner for clients in human capital matters.
Builds and strengthens relationships with key stakeholders and influential figures within the target sectors of our business.
Serves as the main liaison with media outlets, business chambers, and government entities, acting as the spokesperson on matters related to the organization.
Prepares internal leaders and executives for interviews, speaking engagements and public events, ensuring that key messages and speeches consistently reflect the brand's identity and promise."
"Databricks Engineer","PRESERVE SYSTEMS SC","CDMX","$85,000 - $100,000 Mensual",true,"Tecnologías de la Información - Sistemas","Desarrollo de software - Programador","Universitario sin titulo","Permanente","Tiempo completo","Desde casa","¡Te estamos buscando!

Somos una empresa dedicada al desarrollo especializado de software y reclutamiento.




Vacante nivel Medio (2 a 3 años de experiencia en Databricks). Sueldo: $45,000 a $67,000 brutos
Vacante nivel Sr (+4 años de experiencia en Databricks). Sueldo: $70,000 a $100,000 brutos
100% HO

?

Databricks Developer

Experiencia en Spark en Scala
Administración de Unity Catalog en Databricks
Databricks SQL y Delta Lake
Apache Airflow
Amazon S3 / Amazon Redshift
Python
Inglés conversacional

?

Datos generales

Esquema 100% Nomina
Contrato indefinido




Prestaciones

Bono anual por desempeño
24 días de aguinaldo
50% prima vacacional
Vacaciones conforme a la ley
Seguro de gastos médicos mayores
Seguro dental y óptico
Seguro de vida
Vales de despensa
Apoyo psicológico, asesoría financiera y legal
Certificaciones y cursos en línea

¡Postúlate ahora!"
"Ingeniero de datos","La empresa es confidencial o no se encuentra disponible","Monterrey,, N.L.","Sueldo no mostrado por la empresa",true,"Tecnologías de la Información - Sistemas","Base de datos","Universitario titulado","Permanente","Tiempo completo","Desde casa","Responsabilidades

Experiencia trabajando con Databricks usando Unity Catalog

? Diseñar e implementar pipelines de ingesta y transformación de datos utilizando Databricks

(PySpark/SQL) y Delta Lake.

? Integrar fuentes estructuradas y no estructuradas, archivos planos, bases de datos y

conectores nativos.

? Participar en el diseño y evolución de una arquitectura Lakehouse siguiendo el enfoque de

capas Bronze, Silver y Gold.

? Asegurar el cumplimiento de buenas prácticas de calidad de datos, trazabilidad,

versionamiento y gobierno.

? Implementar mecanismos de control de cambios y despliegue automatizado (CI/CD).

? Monitorear y optimizar el rendimiento de los pipelines en ambientes de QA y producción.

? Documentar soluciones técnicas y brindar soporte técnico a usuarios de negocio e ingeniería.




Requisitos Técnicos

? 4+ años de experiencia en ingeniería de datos o roles similares.

? Experiencia comprobada en desarrollo sobre Azure Databricks y uso de Delta Lake.

? Conocimiento profundo en arquitecturas Lakehouse y modelo de medallón.

? Dominio en PySpark, SQL distribuido y procesamiento de grandes volúmenes de datos.

? Experiencia en integración de datos mediante APIs REST, autenticación OAuth 2.0 y manejo de

formatos JSON/XML.

? Experiencia práctica en el uso de Unity Catalog para el control de acceso y la gobernanza de

datos en Databricks.

? Conocimientos sólidos en control de versiones con Git y flujos de trabajo de DevOps (CI/CD).

? Experiencia trabajando bajo metodologías ágiles y colaborativas."
"Category Mgr, Indirect Procurement","MSC INDUSTRIAL SUPPLY","Qro.","Sueldo no mostrado por la empresa",true,"Administrativo","Compras","Universitario titulado","Permanente","Tiempo completo","Presencial","JOB DESCRIPTION

BRIEF POSITION SUMMARY:

The Indirect Procurement Category manager plays a critical role in managing and optimizing the company's

purchasing processes, ensuring cost-effective procurement of goods and services, and maintaining high

standards of quality. Will be responsible for managing procurement and sourcing strategies for indirect spend

categories, such as office supplies, IT services, HR, travel, and professional services. Their role involves

optimizing costs, negotiating contracts, and ensuring supplier performance aligns with business needs.

DUTIES AND RESPONSIBILITIES

• Develop and implement procurement strategies for assigned indirect spend categories by analyzing

historical purchasing data, market trends, and supplier performance.

• Identify cost-saving opportunities through supplier consolidation, negotiation, and efficient sourcing.

• Lead contract negotiations, ensuring favorable terms, compliance, and risk mitigation.

• Utilize advanced analytics tools (e.g., Excel, ERP software, or procurement platforms) to analyze

purchasing patterns, demand forecasts, inventory levels, and budget constraints. Present data insights

to senior management to influence purchasing strategies and budget allocation.

• Monitor spending trends, identify areas for cost reduction, and implement strategies to reduce

procurement costs. Work closely with finance and department heads to track and stay within budgetary

guidelines.

• Continuously evaluate and improve purchasing processes and workflows using data-driven insights.

Implement best practices to enhance efficiency, reduce lead times, and streamline vendor selection

and onboarding.

• Continuously evaluate and improve purchasing processes and workflows using data-driven insights.

Implement best practices to enhance efficiency, reduce lead times, and streamline vendor selection

and onboarding.

• Conduct market research to identify new suppliers and best practices.

• Collaborate with internal stakeholders to understand business needs and align procurement strategies.

• Build and maintain strong relationships with suppliers and vendors ensuring high performance and

continuous improvement..

• Conduct in-depth market analysis to assess potential suppliers, negotiate contracts, and secure

favorable terms while ensuring product quality and delivery timelines.

• Manage supplier relationships,

• Monitor procurement activities, providing reports on savings, vendor performance, and risks.

• Fosters the MSC Culture in the department and throughout the company to ensure fulfillment of MSC's

vision and unity of purpose.

• Participation in special projects and performs additional duties as required

JD Template Revision Date 5/2/2024

QUALIFICATIONS

What You Need:

• Bachelor's degree in business, supply chain management, or a related field required.

• Minimum of five years in procurement, sourcing, or category management.

• Strong verbal and written communication skills in both English and Spanish required

• Strong understanding of procurement best practices and cost optimization strategies.

• Ability to analyze data and generate actionable insights.

• Excellent stakeholder management and cross-functional teamwork with departments like HR, IT, and finance.

• Strong negotiation skills for cost efficiencies and expertise in supplier management and contract administration."
"Spec, Supply Chain Business Process","MSC INDUSTRIAL SUPPLY","Qro.","Sueldo no mostrado por la empresa",true,"Logística - Transporte - Distribución - Almacén","Abastecimiento","Universitario sin titulo","Permanente","Tiempo completo","Presencial","JOB DESCRIPTION

BRIEF POSITION SUMMARY:

The Supply Chain Business Process Specialist is a highly analytical and solutions-driven role. You will be responsible for identifying inefficiencies, analyzing root causes of supply chain challenges, and developing strategic solutions to optimize business operations. You will work closely with cross-functional teams to drive continuous improvements in processes, performance, and cost efficiency.

DUTIES AND RESPONSIBILITIES

• Conduct in-depth root cause analysis to identify supply chain disruptions, inefficiencies, and process bottlenecks.

• Develop and implement data-driven business solutions to enhance supply chain performance and reduce operational costs.

• Collaborate with procurement, logistics, operations, and finance teams to streamline processes and drive efficiency.

• Work cross functionally to implement solutions

• Utilize statistical analysis, predictive modeling, and advanced analytics to uncover trends and improvement opportunities.

• Monitor key supply chain metrics and report insights to stakeholders.

• Lead and support business initiatives focused on sustainability, cost reduction, and service-level improvements.

• Stay updated on industry best practices, emerging technologies, and supply chain innovations.

• Prepare detailed reports and presentations to communicate findings and recommendations.

• Track financial and operational improvements to ensure change endures

• Use change management process to implement adjustments

• Fosters the MSC Culture in the department and throughout the company to ensure fulfillment of MSC's vision and unity of purpose.

• Participation in special projects and performs additional duties as required

QUALIFICATIONS

What You Need:

• Bachelor's degree in supply chain management, Business Analytics, Operations Research, or a related field.

JD Template Revision Date 5/2/2024

• Five years of experience in supply chain analytics, process optimization, or business consulting.

• Strong proficiency in data analysis tools (Excel, SQL, Tableau, Power BI, etc.).

• Expertise in problem-solving methodologies such as Six Sigma, Lean, or DMAIC.

• Excellent communication and stakeholder management skills.

• Ability to work in a dynamic, fast-paced environment and lead change initiatives."
"Docente en Diseño, Animación y Arte Digital - Diseño de Modas - Diseño Industrial / UNITEC","Universidad Tecnológic...","Atizapán de Zaragoza,, Edo. Méx.​","Sueldo no mostrado por la empresa",true,"Educación","Maestro - Docente - Profesor","Universitario titulado","Temporal","Medio tiempo","Presencial","Acerca de la empresa




La Universidad Tecnológica de México es una institución reconocida por su excelencia académica y su compromiso con la formación integral de sus estudiantes. En un entorno dinámico y colaborativo, priorizamos el crecimiento profesional y personal de nuestros colaboradores, brindando oportunidades únicas para el desarrollo académico y profesional.

Ubicación: Atizapán de Zaragoza, Estado de México.




Objetivo: Impartir clases a nivel Licenciatura contribuyendo al proceso de enseñanza, a fin de elevar la calidad educativa del alumnado, con apego a los programas académicos, la misión institucional, y una excelencia académica.




REQUISITOS:




Experiencia: mínima 5 años en campo laboral y 2 en docencia a nivel Licenciatura, grupos grandes de 60.
Horario abierto entre lunes a viernes de 7:00 am a 4:00 pm.
Habilidades: Comunicación, plataformas Digitales para la educación, creativo, manejo de diferentes herramientas didácticas, para la proyección del proceso de enseñanza-aprendizaje.







VACANTES DISPONIBLES:




LICENCIATURA EN DISEÑO DE MODAS




Indispensable contar con título y cédula.




Materias Para Impartir:




DISEÑO DE LENCERÍA Y TRAJES DE BAÑO
DISEÑO DE PRENDAS A PUNTO




Conocimientos en: técnicas, elaboración de patrones para lenceria y trajes de baño / técnicas y tipos de tejido, selección de materiales de prendas de vestir.




LICENCIATURA EN DISEÑO, ANIMACIÓN Y ARTE DIGITAL




?Indispensable contar con título y cédula.




Materia Para Impartir:




DISEÑO Y VIDEOJUEGOS




Conocimientos en: Conocimientos en Unity / Diseño de maquetación de niveles /




LICENCIATURA EN DISEÑO INDUSTRIAL




Indispensable contar con título y cédula.




Materia Para Impartir:




DISEÑO DE OBJETOS ESPECIALIZADOS
BOCETAJE




Conocimientos en: Metodología de diseños digitales especializados / Necesidades especializadas / Dibujo y Técnicas / Diseño de Interiores / Diseño de Videojuegos / Sensibilidad Ergonómica







PRESTACIONES Y BENEFICIOS ADICIONALES




Descuentos empresariales.
Horarios flexibles que se adaptan a tu calidad de vida.
Plan de desarrollo que te permitirá construir una trayectoria docente.
Capacitación docente continua, para que puedas mejorar la efectividad de tu enseñanza dentro de la clase.
Como docente UNITEC puedes obtener beca para ti, tus hijos/as y también para tu cónyuge. *aplican condiciones.
Pago de utilidades.
Prestaciones de ley (seguridad social, aguinaldo, vacaciones, etc.)
Pagos quincenales.
Contratación por nómina.
Pago por hora laborada




En este centro de trabajo queda prohibida la solicitud de certificados médicos de no embarazo y de VIH como requisito para el ingreso, permanencia o ascenso en el empleo*"
"Automation Project Manager","La empresa es confidencial o no se encuentra disponible","N.L.","Sueldo no mostrado por la empresa",true,"Ingeniería","Automatización","Universitario titulado","Permanente","Tiempo completo","Presencial","EMPRESA ESPECIALIZADA EN LA INDUSTRIA DE AUTOMATIZACIÓN

***SOLO SE CONSIDERA PERSONAL QUE REUNA REQUISITOS***




Requisitos:

·Escolaridad: Ing. Automatización, Ing. Mecatrónica, Ing. Electrónico, Ing. Robótica o carreras afines, deseable maestría.

·Experiencia: 5 años mínimo en puestos similares comprobables de manera estable

·Inglés: Intermedio

·Indispensable: Disponibilidad para viajar, visa y pasaporte

·Disponibilidad para puestas en marcha (Trabajo en sitio).

·Conocimiento técnico y experiencia con equipos mecatrónicos, instrumentación, sensores y actuadores, supervisión de personal




Funciones:

·Diseño de redes de comunicación y control (arquitectura de control)

·Diseño de sistemas de control de PLC/SCADA (Diagramas de flujo, Diagramas de proceso, Listado de señales, selección de hardware).

·Programación PLC mediante lenguajes Escalera, diagramas de bloques, estructurado, grafset. Modelos de PLC Contrologix, Compactlogis, Seguridad, Controlexpert, Unity.

·Programación SCADA (Allen Bradley, Siemens, Schneider).

·Programación de HMI.

·Conocimientos en redes ethernet.

·Interpretación de diagramas eléctricos en AUTOCAD.

·Instalaciones de software.

·Conocimientos eléctricos.

·Coordinación de personal a su cargo.

·Elaboración de presupuestos.

·Dar soporte al personal a su cargo.

·Atención del Clientes, usuarios

·Asegurar que todas las actividades se realicen con el debido respeto a las normas de salud y seguridad aplicables a la actividad, además de la entrega de proyecto en tiempo y forma




Ofrecemos:

·Sueldo NEGOCIABLE de acuerdo a experiencia y aptitudes

·prestaciones de ley y superiores

·Horario de lunes a viernes"
"Ing. deDatos TI en Monterrey","GTIM SOFTWARE PROJECTS...","Monterrey,, N.L.","$35,000 - $40,000 Mensual",false,"Tecnologías de la Información - Sistemas","Informática","Universitario sin titulo","Permanente","Tiempo completo","Híbrido","En Grupo TI buscamos un Ing. de DatoS TI con las siguientes características:




Requerimiento:

-Al menos 2 años de experiencia trabajando con:

Databricks (Spark, DeltaLake, Workflows)
Dominio de Python, SQL y ETL/ELT
Experiencia en cloud (Azure)
Conocimiento de pipelines y manejo de clusteres Spark
Experiencia con Unity Catalog (deseable)







Proyecto híbrido en Monterrey, NL"
"Specialist Category Operations and Cost Management","MSC INDUSTRIAL SUPPLY","Qro.","Sueldo no mostrado por la empresa",true,"Manufactura - Producción - Operación","Operaciones","Universitario sin titulo","Permanente","Tiempo completo","Presencial","BRIEF POSITION SUMMARY:

The Category Operations Specialist, Cost Management COE (Center of Excellence) is responsible for execution and continuous improvement of cost-related processes. The Specialist will ensure data is consistent and accurate, provide timely responses to information or service requests, and execute processes and programs. The Specialist will work within the Operations COE team and cross-functionally with internal customers.




DUTIES AND RESPONSIBILITIES

• Follows the cost management process that begins with a cost change notification from a supplier, while maintaining a continual improvement mindset.

• Follow processes to estimate impact on the business, work with the supplier to confirm the change and address any anomalies, share and receive approval from Category Strategy and enter changes into the system. Some level of negotiations may be needed.

o Interprets and provides analytical details of cost change to support business decisions

o Uses internal reporting to conduct regular meetings with Category Strategy to review open tasks

• Manages costing errors while identifying themes and reducing the number of discrepancies. Performs due diligence to understand root causes of errors on PO or invoices from a supplier, updates information appropriately and resolves supplier disputes regarding cost.

o Works cross-functionally with Supply Chain, suppliers, Accounts Payable, sales associates and Category Strategy to resolve issues and inform on resolutions

• Assist with training new associates in cost management processes whether within Category Operations or Category Strategy.

• Analyze cost / sell price relationships related to cost maintenance and work with Strategic Pricing to update sell prices.

• Identifies improvement opportunities along with proposed solutions for key processes.

• Performs consistent and accurate data input and assessment.

• Fosters the MSC Culture in the department and throughout the company to ensure fulfillment of MSC's vision and unity of purpose.

• Participation in special projects and performs additional duties as required




QUALIFICATIONS

What You Need:

• Bachelors' Degree required

• Two to four years of experience in supply chain, distribution, or finance/analytics required.

• MS Office Suite proficiency required; MS Excel Intermediate skill level or above required.

• Knowledge of Business acumen, key financial metrics and basic business concepts

• Ability to multi-task, prioritize and manage time effectively

• Highly organized and works with a sense of urgency

• Agile learner who can think on their feet and be flexible

• Attention to detail

• Excellent written and verbal communication skills

• Ability to quickly learn new systems and processes

• Self-starter able to work autonomously

• Customer service focused

• Proactive thinker with strong problem-solving and analytical skills

• Ability to collaborate and work cross-functionally with different teams and personalities

• Able to build sustainable relationships of trust through open and interactive communication




Bonus Points If You Have:

• Degree area of study in Business, Marketing, Supply Chain, or equivalent area of study preferred.

• AS400 and SharePoint experience preferred."
"Sr. Market Pricing Analyst","MSC INDUSTRIAL SUPPLY","Qro.","Sueldo no mostrado por la empresa",true,"Contabilidad - Finanzas","Análisis financiero - Pronóstico","Universitario sin titulo","Permanente","Tiempo completo","Presencial","BRIEF POSITION SUMMARY:

The Senior Marketing Pricing Analyst, under limited supervision, is responsible for the effective maintenance of MSC's credible ranges which includes proactively analyzing and making recommendations to optimize sales and profitability, while considering competitive market dynamics, category role, costs and other levers. This role will use various enterprise software and tools to collect, analyze and evaluate data supporting the effective management of credible ranges. In addition, this role is responsible for running analysis to determine ideal price points, optimizing revenue and profitability for new and existing products. This position supports key processes and methods to evaluate and recommend credible range in the establishment of price.




DUTIES AND RESPONSIBILITIES

• Partners with third parties to effectively source and maintain web scrapings.

• Maintains Business Unit approved optimal competitors to scrape by category to support credible range calculations.

• Maintains premium or discount applied to competition by category to support credible range calculations.

• Ensures unit of measures mapped correctly.

• Highlights any exclusive brand only taxonomies so that the Business Units can provide exclusive brand crosses to competition.

• Compiles and maintains Good/Better/Best, Industry brand to exclusive brand, Brand, UOM relationships, Size Factors & Anchor SKU from Business Unit/Category teams including coordinating with marketing/digital to support data being available for downstream processes.

• Compiles manufacturer list prices maintained by the Cost Management Team.

• Compiles, validates, obtains approval, and incorporates new logic to derive “Market-Derived Credible Prices”.

• Calculates and publishes credible MSC price range for all active items monthly.

• Helps drive the credible range pricing process and analytics to optimize MSC visible market prices.

• Partners with Precision, Pricing team, IT and pricing application provider in design and implementation of systems and reporting improvements for measuring and monitoring credible range prices

• Serve as a trusted adviser to the category teams on credible range process to support profitable sales growth.

• Build strong cross functional working relationships inclusive of marketing, finance, and business

• intelligence, IT, sales operations, category management, and field sales for all customer segments.

• Understands and interprets organization goals and initiatives so that priorities are balanced, and timelines established in a cost-effective manner.

Fosters the MSC Culture in the department and throughout the company to ensure fulfillment of MSC's vision and unity of purpose.

• Participation in special projects and performs additional duties as required




QUALIFICATIONS

What You Need:

• A bachelor's degree in business, finance or equivalent experience is required

• Minimum of eight years' professional experience with at least five years' experience in an analytical role with one or more of the following disciplines: financial analysis, business strategies, pricing or sales required

• Expertise in retrieving data from systems, such as business intelligence tools

• Hands-on expertise of large-data analytics tools, such as Alteryx and Tableau, and/or specific pricing applications such as PROS, Vendavo, Zilliant, R Studio or others

• Experience working with distribution, manufacturing or related industrial markets

• Excellent PC skills (MS Office Excel, Powerpoint, Word, Access) required

• Excellent analytical, quantitative and data visualization skills are required

• Financial analytics with a deep understanding of revenue, margin and pricing

• Excellent oral and written communication skills are required

• Ability to communicate effectively with all levels of associates within the organization required"
"SOPORTE TÉCNICO NIVEL 2","Focus on Services S.A....","Ciudad Judicial Federal,, Zapopan,, Jal.","$20,000 - $25,000 Mensual",true,"Tecnologías de la Información - Sistemas","Infraestructura","Universitario sin titulo","Temporal","Tiempo completo","Presencial","Focus On Services SA de CV




Focus On Services es una empresa Mexicana, del ramo de Servicios de Tecnologías de Información, legalmente establecida desde el año 2000 y con una extensa cobertura geográfica en América Latina.

Te invitamos a formar parte de nuestro equipo de trabajo como:







SOPORTE TÉCNICO NIVEL 2







Requisitos:




· Licenciatura o Ingeniería en Sistemas, Computación, Informática o afín.

· Experiencia mínima de 2 años en puesto similar.







Experiencia:




· Conocimientos avanzados de ambiente VMware (instalación, configuración, actualización, creación de VMS, migración de VMS , etc).

· Experiencia en infraestructura (Sistema IDRAC (Sistema de Gestión Remota de Servidores DELL))

· Actualización de Firmwares en equipos del tanto físico como directo de la consola (OME)

· Conocimientos de almacenamiento SAN Y NAS (protocolos) y equipos de almacenamiento UNITY

· Conocimientos en red (switches DELL y Brocade, configuraciones, Zoneo, etc)

· Conocimiento en soporte físico a servidores y storages

· Creación y seguimiento de incidencias y solicitudes directamente con el proveedor

· Conocimiento en instalación de sistemas operativos Windows Server y LINUX




Ofrecemos:

Sueldo $20,000 - $25,000 Brutos mensuales + Vales de despensa

Esquema 100% nominal

Prestaciones de ley

Trabajo presencial. Ciudad Judicial, Zapopan, Jalisco. (a un costado del estadio Akron)




Envía tu Curriculum actualizado al correo descrito, mencionado con tus expectativas económicas y tu disponibilidad para ingresar a laborar y nos pondremos en contacto contigo.




¡Muchas gracias!"
"Data Solutions Architect","La empresa es confidencial o no se encuentra disponible","CDMX","$65,000 - $70,000 Mensual",true,"Tecnologías de la Información - Sistemas","Arquitecto de soluciones","Universitario titulado","Permanente","Tiempo completo","Híbrido","Posición Híbrida en CDMX

Experiencia Requerida

Mínimo 8 años de experiencia profesional en soluciones de datos, arquitectura cloud o ingeniería de datos.

Al menos 3 años diseñando soluciones distribuidas en la nube con foco en disponibilidad, rendimiento y gobernanza.

Experiencia en implementación de arquitecturas de tipo Data Lakehouse y Data Mesh.

Participación comprobada en proyectos con exposición de datos mediante APIs, integración de múltiples fuentes y federación de datos.

Conocimiento profundo de herramientas como Databricks, Azure Synapse, Azure Data Factory, FastAPI y Azure Storage.

Experiencia en ambientes regulados o con necesidades avanzadas de seguridad, trazabilidad y control de acceso.

Deseable experiencia en proyectos con enfoque en data products y domain-driven design.

Responsabilidades Clave

Estrategia y Arquitectura

Definir y evolucionar la arquitectura de datos de la organización, asegurando escalabilidad, resiliencia y alineación estratégica.

Diseñar y guiar la adopción de arquitecturas cloud-native, event-driven y orientadas a productos de datos.

Evaluar nuevas tecnologías, enfoques y marcos de trabajo en función del roadmap de datos y analítica avanzada.

Diseño de Soluciones y Exposición de Datos

Liderar el diseño técnico de productos de datos reutilizables y expuestos como APIs (usando FastAPI, Azure API Management).

Diseñar pipelines y estructuras Lakehouse con Databricks, Delta Lake y Azure Data Lake.

Implementar patrones de integración y federación de datos bajo principios de Data Mesh y dominio distribuido.

Gobierno, Seguridad y Operabilidad

Definir estándares técnicos de versionado, monitoreo, testing automatizado y CI/CD para soluciones de datos.

Asegurar cumplimiento de políticas de gobernanza, privacidad, control de acceso y trazabilidad.

Supervisar la correcta catalogación, documentación y descubrimiento de activos de datos (Unity Catalog, Purview).

Colaboración y Acompañamiento

Actuar como puente entre equipos técnicos, dominios de negocio y stakeholders estratégicos.

Promover el diseño colaborativo, el reuso de componentes y la arquitectura evolutiva.

Brindar soporte técnico a equipos de data engineering, analytics y ciencia de datos.

Competencias de Liderazgo y Soft Skills

Pensamiento Sistémico: Capacidad para diseñar arquitecturas integradas y sostenibles.

Comunicación Interfuncional: Traducir requerimientos técnicos y de negocio de forma clara.

Orientación a la Reutilización: Foco en crear componentes modulares, escalables y compartibles.

Liderazgo Técnico: Influenciar decisiones técnicas en equipos multidisciplinarios.

Gestión de la Complejidad: Resolver problemas técnicos de alto impacto y escala.

Mentalidad de Plataforma y Producto: Diseñar soluciones centradas en experiencia del consumidor de datos.

Curiosidad Tecnológica y Aprendizaje Continuo: Explorar nuevas herramientas y marcos para mantener la arquitectura al día."
"Consultor de Realidad Aumentada","Branchbit","Benito Juárez,, CDMX","Sueldo no mostrado por la empresa",true,"Ingeniería","Innovación y desarrollo","Universitario titulado","Permanente","Tiempo completo","Presencial","Oferta de Trabajo: Consultor de Realidad Aumentada (AR)

Ubicación: Hibrido

Tipo de contrato: Tiempo completo

Experiencia requerida: más de 3 años en proyectos de Realidad Aumentada




En Branchbit, combinamos tecnología, creatividad e innovación para desarrollar experiencias digitales que transforman la forma en que las personas interactúan con el mundo. Estamos en busca de un Consultor de Realidad Aumentada (AR) apasionado por la tecnología inmersiva, con experiencia en el diseño, desarrollo y despliegue de soluciones AR en entornos reales de negocio.




Responsabilidades:

Analizar necesidades del cliente y proponer soluciones basadas en Realidad Aumentada.
Diseñar experiencias interactivas usando plataformas como Unity, Unreal Engine, ARKit, ARCore, o WebAR
Colaborar con equipos de desarrollo, diseño UX/UI y negocio para asegurar la viabilidad técnica y estratégica de los proyectos.
Identificar oportunidades para integrar AR en procesos comerciales, capacitación, marketing o visualización de productos.
Documentar soluciones, generar presentaciones técnicas y apoyar en la elaboración de propuestas.




Requisitos:

Experiencia comprobada en desarrollo o consultoría de proyectos de AR.
Conocimientos en plataformas y frameworks AR (Unity + Vuforia, ARKit, ARCore, 8thWall, etc.).
Capacidad para entender requerimientos técnicos y de negocio.
Buen manejo de herramientas de prototipado y visualización (por ejemplo, Blender, Figma, Sketch).
Conocimiento de lenguajes como C#, JavaScript o Python es un plus.
Habilidades de comunicación clara y efectiva con clientes y equipos multidisciplinarios.
Inglés técnico (lectura y escritura).

Deseable:

Experiencia en integración de AR con IoT, inteligencia artificial o realidad mixta.
Experiencia en aplicaciones móviles o WebXR
Conocimiento en arquitectura de software y patrones de diseño aplicados a soluciones inmersivas.




¿Interesado/a?




Envía tu CV, postúlate directamente a través de esta publicación."
